Label (Grouping),Alabama!!Total population!!Number,Alabama!!Total population!!Percent,Alaska!!Total population!!Number,Alaska!!Total population!!Percent,Arizona!!Total population!!Number,Arizona!!Total population!!Percent,Arkansas!!Total population!!Number,Arkansas!!Total population!!Percent,California!!Total population!!Number,California!!Total population!!Percent,Colorado!!Total population!!Number,Colorado!!Total population!!Percent,Connecticut!!Total population!!Number,Connecticut!!Total population!!Percent,Delaware!!Total population!!Number,Delaware!!Total population!!Percent,District of Columbia!!Total population!!Number,District of Columbia!!Total population!!Percent,Florida!!Total population!!Number,Florida!!Total population!!Percent,Georgia!!Total population!!Number,Georgia!!Total population!!Percent,Hawaii!!Total population!!Number,Hawaii!!Total population!!Percent,Idaho!!Total population!!Number,Idaho!!Total population!!Percent,Illinois!!Total population!!Number,Illinois!!Total population!!Percent,Indiana!!Total population!!Number,Indiana!!Total population!!Percent,Iowa!!Total population!!Number,Iowa!!Total population!!Percent,Kansas!!Total population!!Number,Kansas!!Total population!!Percent,Kentucky!!Total population!!Number,Kentucky!!Total population!!Percent,Louisiana!!Total population!!Number,Louisiana!!Total population!!Percent,Maine!!Total population!!Number,Maine!!Total population!!Percent,Maryland!!Total population!!Number,Maryland!!Total population!!Percent,Massachusetts!!Total population!!Number,Massachusetts!!Total population!!Percent,Michigan!!Total population!!Number,Michigan!!Total population!!Percent,Minnesota!!Total population!!Number,Minnesota!!Total population!!Percent,Mississippi!!Total population!!Number,Mississippi!!Total population!!Percent,Missouri!!Total population!!Number,Missouri!!Total population!!Percent,Montana!!Total population!!Number,Montana!!Total population!!Percent,Nebraska!!Total population!!Number,Nebraska!!Total population!!Percent,Nevada!!Total population!!Number,Nevada!!Total population!!Percent,New Hampshire!!Total population!!Number,New Hampshire!!Total population!!Percent,New Jersey!!Total population!!Number,New Jersey!!Total population!!Percent,New Mexico!!Total population!!Number,New Mexico!!Total population!!Percent,New York!!Total population!!Number,New York!!Total population!!Percent,North Carolina!!Total population!!Number,North Carolina!!Total population!!Percent,North Dakota!!Total population!!Number,North Dakota!!Total population!!Percent,Ohio!!Total population!!Number,Ohio!!Total population!!Percent,Oklahoma!!Total population!!Number,Oklahoma!!Total population!!Percent,Oregon!!Total population!!Number,Oregon!!Total population!!Percent,Pennsylvania!!Total population!!Number,Pennsylvania!!Total population!!Percent,Rhode Island!!Total population!!Number,Rhode Island!!Total population!!Percent,South Carolina!!Total population!!Number,South Carolina!!Total population!!Percent,South Dakota!!Total population!!Number,South Dakota!!Total population!!Percent,Tennessee!!Total population!!Number,Tennessee!!Total population!!Percent,Texas!!Total population!!Number,Texas!!Total population!!Percent,Utah!!Total population!!Number,Utah!!Total population!!Percent,Vermont!!Total population!!Number,Vermont!!Total population!!Percent,Virginia!!Total population!!Number,Virginia!!Total population!!Percent,Washington!!Total population!!Number,Washington!!Total population!!Percent,West Virginia!!Total population!!Number,West Virginia!!Total population!!Percent,Wisconsin!!Total population!!Number,Wisconsin!!Total population!!Percent,Wyoming!!Total population!!Number,Wyoming!!Total population!!Percent,Puerto Rico!!Total population!!Number,Puerto Rico!!Total population!!Percent
        15 to 19 years,"324,58",7.3,"50,094",8.0,"367,722",7.2,"198,765",7.4,"2,450,888",7.2,"307,238",7.1,"216,627",6.4,"55,632",7.1,"37,867",6.6,"1,014,067",6.3,"596,277",7.3,"81,002",6.7,"110,858",8.6,"894,002",7.2,"453,482",7.5,"226,42",7.7,"210,118",7.8,"289,004",7.2,"365,945",8.2,"89,485",7.0,"356,119",6.7,"415,737",6.5,"719,867",7.2,"374,362",7.6,"233,188",8.2,"413,296",7.4,"71,31",7.9,"134,909",7.9,"127,169",6.4,"86,688",7.0,"525,216",6.2,"145,751",8.0,"1,287,544",6.8,"539,931",6.7,"53,618",8.3,"816,868",7.2,"269,373",7.8,"244,427",7.1,"850,986",6.9,"75,445",7.2,"295,377",7.4,"62,463",8.3,"395,184",6.9,"1,636,232",7.8,"216,278",9.7,"45,77",7.5,"484,065",6.8,"427,968",7.3,"125,578",6.9,"407,195",7.6,"41,903",8.5,"313,436",8.2
        20 to 24 years,"306,865",6.9,"39,892",6.4,"362,86",7.1,"181,598",6.8,"2,381,288",7.0,"306,238",7.1,"187,571",5.5,"51,665",6.6,"51,823",9.1,"928,31",5.8,"592,196",7.2,"83,409",6.9,"93,994",7.3,"850,843",6.9,"425,731",7.0,"203,663",7.0,"190,167",7.1,"283,032",7.0,"325,571",7.3,"69,656",5.5,"314,129",5.9,"404,279",6.4,"643,839",6.5,"322,483",6.6,"212,947",7.5,"369,498",6.6,"58,379",6.5,"120,331",7.0,"130,006",6.5,"68,766",5.6,"480,079",5.7,"121,291",6.7,"1,244,309",6.6,"577,508",7.2,"50,503",7.9,"728,928",6.4,"247,165",7.2,"230,406",6.7,"746,086",6.1,"71,813",6.9,"281,714",7.0,"52,802",7.0,"386,345",6.8,"1,539,404",7.4,"225,152",10.1,"37,852",6.2,"480,574",6.8,"390,185",6.6,"120,109",6.6,"357,292",6.7,"33,455",6.8,"301,191",7.9
