"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","SubMeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId","SubMeasureID","SubMeasureIdDisplayOrder"
"GA","Georgia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,362","$","Dollars","    (32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"GA","Georgia","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","68,1",,"Pack","    (32.839681093, -83.627580346)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"HI","Hawaii","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","47,4",,"Pack","    (21.304850435, -157.857749403)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"HI","Hawaii","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,044","$","Dollars","    (21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ID","Idaho","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","60,8",,"Pack","    (43.682630005, -114.363730042)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"ID","Idaho","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,498","$","Dollars","    (43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IL","Illinois","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,353","$","Dollars","    (40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IL","Illinois","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","60",,"Pack","    (40.485010283, -88.997710178)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"IN","Indiana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,451","$","Dollars","    (39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IN","Indiana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","97,7",,"Pack","    (39.766910452, -86.149960194)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"IA","Iowa","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","83,7",,"Pack","    (42.469400913, -93.816490556)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"IA","Iowa","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,273","$","Dollars","    (42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"KS","Kansas","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","56,3",,"Pack","    (38.3477403, -98.200781227)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"KS","Kansas","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,748","$","Dollars","    (38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"KY","Kentucky","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,01","$","Dollars","    (37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"KY","Kentucky","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","174,4",,"Pack","    (37.645970271, -84.774971048)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"LA","Louisiana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","85,6",,"Pack","    (31.312660644, -92.445680071)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"LA","Louisiana","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,406","$","Dollars","    (31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ME","Maine","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","72,4",,"Pack","    (45.254228894001, -68.985031336)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"ME","Maine","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,057","$","Dollars","    (45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MD","Maryland","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,022","$","Dollars","    (39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MD","Maryland","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","48,9",,"Pack","    (39.290580964, -76.609260111)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MA","Massachusetts","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,028","$","Dollars","    (42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MA","Massachusetts","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","43,6",,"Pack","    (42.27687047, -72.082690675)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MI","Michigan","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,087","$","Dollars","    (44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MI","Michigan","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","68,5",,"Pack","    (44.661319543001, -84.71439027)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MN","Minnesota","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,515","$","Dollars","    (46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MN","Minnesota","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","73",,"Pack","    (46.355648736, -94.794200503)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MS","Mississippi","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,203","$","Dollars","    (32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MS","Mississippi","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","88,4",,"Pack","    (32.745510099, -89.538030825)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MO","Missouri","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","105",,"Pack","    (38.635790776, -92.566300053)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MO","Missouri","2004","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,088","$","Dollars","    (38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
