"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","SubMeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId","SubMeasureID","SubMeasureIdDisplayOrder"
"MA","Massachusetts","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","58,3",,"Pack","    (42.27687047, -72.082690675)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MI","Michigan","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,455","$","Dollars","    (44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MI","Michigan","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","83,7",,"Pack","    (44.661319543001, -84.71439027)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MN","Minnesota","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","76",,"Pack","    (46.355648736, -94.794200503)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MN","Minnesota","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,188","$","Dollars","    (46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MS","Mississippi","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","97,2",,"Pack","    (32.745510099, -89.538030825)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MS","Mississippi","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,8","$","Dollars","    (32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MO","Missouri","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","113,8",,"Pack","    (38.635790776, -92.566300053)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MO","Missouri","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,822","$","Dollars","    (38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MT","Montana","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,71","$","Dollars","    (47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MT","Montana","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","75,5",,"Pack","    (47.066528972, -109.424420645)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NE","Nebraska","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","77,6",,"Pack","    (41.641040988001, -99.365720623)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NE","Nebraska","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,095","$","Dollars","    (41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NV","Nevada","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,184","$","Dollars","    (39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NV","Nevada","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","93,2",,"Pack","    (39.49324039, -117.071840564)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NH","New Hampshire","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","147,3",,"Pack","    (43.655950113, -71.50036092)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NH","New Hampshire","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,215","$","Dollars","    (43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NJ","New Jersey","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,637","$","Dollars","    (40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NJ","New Jersey","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","60,1",,"Pack","    (40.130570048, -74.273691288)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NM","New Mexico","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","53,8",,"Pack","    (34.520880952, -106.240580985)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NM","New Mexico","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,916","$","Dollars","    (34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NY","New York","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","57,8",,"Pack","    (42.827001032, -75.543970427)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NY","New York","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,985","$","Dollars","    (42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NC","North Carolina","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","109",,"Pack","    (35.466220975, -79.159250463)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"NC","North Carolina","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,767","$","Dollars","    (35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ND","North Dakota","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","72,5",,"Pack","    (47.475319779, -100.118421049)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"ND","North Dakota","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,069","$","Dollars","    (47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OH","Ohio","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,793","$","Dollars","    (40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OH","Ohio","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","99,9",,"Pack","    (40.060210141, -82.404260056)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"OK","Oklahoma","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,904","$","Dollars","    (35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OK","Oklahoma","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","108,9",,"Pack","    (35.472031356, -97.521070214)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"OR","Oregon","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","72",,"Pack","    (44.567449424, -120.155031326)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"OR","Oregon","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,456","$","Dollars","    (44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"PA","Pennsylvania","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,919","$","Dollars","    (40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"PA","Pennsylvania","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","87,9",,"Pack","    (40.793730152, -77.860700294)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"RI","Rhode Island","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","83,1",,"Pack","    (41.708280193, -71.522470314)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"RI","Rhode Island","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,382","$","Dollars","    (41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SC","South Carolina","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,783","$","Dollars","    (33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SC","South Carolina","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","103,9",,"Pack","    (33.998821303, -81.045371207)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"SD","South Dakota","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,04","$","Dollars","    (44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SD","South Dakota","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","75,1",,"Pack","    (44.353130053, -100.373530637)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"TN","Tennessee","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","108,7",,"Pack","    (35.68094058, -85.774490914)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"TN","Tennessee","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,815","$","Dollars","    (35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"TX","Texas","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","69,3",,"Pack","    (31.827240407, -99.426770206)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"TX","Texas","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,112","$","Dollars","    (31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"UT","Utah","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","40,7",,"Pack","    (39.360700171, -111.587130635)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"UT","Utah","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,312","$","Dollars","    (39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VT","Vermont","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,232","$","Dollars","    (43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VT","Vermont","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","88,9",,"Pack","    (43.625381239, -72.517640791)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"VA","Virginia","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","96,7",,"Pack","    (37.542680674, -78.457890463)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"VA","Virginia","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,754","$","Dollars","    (37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WA","Washington","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","52,8",,"Pack","    (47.522278629, -120.47001079)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"WA","Washington","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,816","$","Dollars","    (47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WV","West Virginia","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","107,9",,"Pack","    (38.665510202, -80.712640135)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"WV","West Virginia","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,758","$","Dollars","    (38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WI","Wisconsin","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","80,1",,"Pack","    (44.393191174, -89.816370742)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"WI","Wisconsin","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,304","$","Dollars","    (44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WY","Wyoming","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,912","$","Dollars","    (43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WY","Wyoming","2000","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","90,5",,"Pack","    (43.235541343, -108.109830353)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"AL","Alabama","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","100,7",,"Pack","    (32.840571122, -86.631860762)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"AL","Alabama","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,707","$","Dollars","    (32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AK","Alaska","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","70,5",,"Pack","    (64.845079957001, -147.722059036)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"AK","Alaska","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,047","$","Dollars","    (64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AZ","Arizona","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,177","$","Dollars","    (34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AZ","Arizona","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","61,7",,"Pack","    (34.86597028, -111.763811277)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"AR","Arkansas","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,793","$","Dollars","    (34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AR","Arkansas","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","104,8",,"Pack","    (34.748650124, -92.274490743)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"CA","California","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","47,2",,"Pack","    (37.638640123, -120.999999538)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"CA","California","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,512","$","Dollars","    (37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CO","Colorado","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","79,6",,"Pack","    (38.843840757, -106.133610921)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"CO","Colorado","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,813","$","Dollars","    (38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CT","Connecticut","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,123","$","Dollars","    (41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CT","Connecticut","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","73,4",,"Pack","    (41.56266102, -72.649840952)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"DE","Delaware","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","139,5",,"Pack","    (39.008830667, -75.577741168)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"DE","Delaware","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,762","$","Dollars","    (39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"DC","District of Columbia","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","50,8",,"Pack","    (38.890371385, -77.031961127)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"DC","District of Columbia","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,24","$","Dollars","    (38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"FL","Florida","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,863","$","Dollars","    (28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"FL","Florida","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","88,2",,"Pack","    (28.932040377, -81.928960539)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"GA","Georgia","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,574","$","Dollars","    (32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"GA","Georgia","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","97,1",,"Pack","    (32.839681093, -83.627580346)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"HI","Hawaii","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","32,5",,"Pack","    (21.304850435, -157.857749403)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"HI","Hawaii","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,733","$","Dollars","    (21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ID","Idaho","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","75,1",,"Pack","    (43.682630005, -114.363730042)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"ID","Idaho","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,759","$","Dollars","    (43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IL","Illinois","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","72,2",,"Pack","    (40.485010283, -88.997710178)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"IL","Illinois","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,127","$","Dollars","    (40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IN","Indiana","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","133,3",,"Pack","    (39.766910452, -86.149960194)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"IN","Indiana","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,602","$","Dollars","    (39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IA","Iowa","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","91,7",,"Pack","    (42.469400913, -93.816490556)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"IA","Iowa","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,863","$","Dollars","    (42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"KS","Kansas","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,712","$","Dollars","    (38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"KS","Kansas","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","83,3",,"Pack","    (38.3477403, -98.200781227)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"KY","Kentucky","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","165,3",,"Pack","    (37.645970271, -84.774971048)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"KY","Kentucky","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,434","$","Dollars","    (37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"LA","Louisiana","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","101",,"Pack","    (31.312660644, -92.445680071)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"LA","Louisiana","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","2,812","$","Dollars","    (31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ME","Maine","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,305","$","Dollars","    (45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ME","Maine","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","85,5",,"Pack","    (45.254228894001, -68.985031336)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MD","Maryland","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,152","$","Dollars","    (39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MD","Maryland","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","71,4",,"Pack","    (39.290580964, -76.609260111)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MA","Massachusetts","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","60,4",,"Pack","    (42.27687047, -72.082690675)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MA","Massachusetts","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,523","$","Dollars","    (42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MI","Michigan","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,338","$","Dollars","    (44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MI","Michigan","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","81,7",,"Pack","    (44.661319543001, -84.71439027)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
"MN","Minnesota","1999","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","80,7",,"Pack","    (46.355648736, -94.794200503)","Table 11- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","453CGS","2"
