,GeoName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
37000,North Carolina,3008,3238,3550,3986,4306,4723,5128,5520,6125,6638,7321,8146,8754,9412,10521,11172,11913,12543,13695,14646,15421,15937,17089,17806,18498,19358,20203,21142,22021,22717,23734,24111,24689,25721,27534
38000,North Dakota,3088,3573,4215,5880,5635,5881,5704,5918,7398,7566,7083,9225,10034,10513,11320,11778,12143,12560,11660,13277,14590,14817,16246,16286,17663,17502,19582,19050,21017,21352,23329,23824,24881,27410,27684
39000,Ohio,3640,3911,4173,4626,5051,5444,5945,6530,7180,7872,8650,9359,9945,10563,11722,12415,13027,13454,14506,15478,16379,16707,17683,18243,19142,19908,20599,21659,22760,23410,24546,25290,26111,27116,28161
40000,Oklahoma,3257,3522,3754,4237,4576,5116,5503,5993,6623,7517,8401,9489,10152,10473,11345,11866,12275,12200,12925,13738,14316,14788,15556,16018,16545,17097,17850,18589,19382,19691,21224,22501,23399,24712,26624
42000,Pennsylvania,3630,3872,4132,4565,4996,5535,6021,6571,7224,7943,8720,9558,10310,10959,11843,12588,13252,13861,15076,16251,17218,17944,18792,19402,19946,20723,21599,22540,23633,24568,26217,27399,28464,29610,31322
44000,Rhode Island,3854,4030,4283,4569,4898,5468,5890,6427,6937,7632,8699,9641,10428,11306,12367,13216,13969,14565,16106,17450,17936,18117,18973,19698,20137,21180,21693,22622,23920,24718,26192,27497,29059,30638,32121
45000,South Carolina,2912,3120,3368,3758,4144,4529,4926,5280,5848,6387,7065,7800,8302,8941,9889,10452,11047,11633,12637,13477,14297,14775,15528,16115,16854,17575,18359,19143,20157,20831,22092,22689,23564,24360,25394
46000,South Dakota,3126,3441,3940,4928,4861,5411,5246,6011,6880,7561,7516,8792,9201,9679,11042,11285,11822,12364,12899,13848,15114,15639,16666,17105,18315,18401,20270,20449,22009,22780,24167,24934,25237,27819,29673
47000,Tennessee,2920,3190,3518,3946,4299,4671,5123,5586,6248,6843,7422,8205,8730,9316,10354,10970,11697,12394,13453,14293,15130,15753,16924,17682,18418,19389,20024,20825,22532,23131,24299,24727,25747,26828,28182
48000,Texas,3370,3611,3880,4320,4728,5332,5809,6285,7086,7830,8665,9794,10510,11142,12048,12779,12987,13099,13962,14704,15643,16136,17141,17722,18300,19125,20017,21271,22613,23430,24894,26251,26772,27668,28591
